tweet_id,tweet_time,tweet_text,location,retweets,vaccine
1.43975E+18,20/09/2021 00:47,@chrisrock My husband &amp; I were both vaccinated &amp; yet we both contracted the Delta Variant. I had the J&amp;J &amp; Todd had the Phizer vaccine. We are still dealing with the residuals of it &amp; it was months ago that we had covid. Praying for you @chrisrock It is no joke.,North Carolina,0,J&J
1.43973E+18,19/09/2021 23:29,"@dumo the biggest lie is that Biden is effective w Covid 19. He ignored Delta, fanned antivax fears when he took J&amp;J vaccine off market over handful of side EFX AND misadvised nation to stop wearing masks. Directly responsible for 100k deaths.",Texas,0,J&J
1.43959E+18,19/09/2021 14:16,"@j_aldrich @OogieLeo @chrisrock Smfh , u think its about money he would push their vaccine,  NO , It's about not wanting the backlash for speaking ur mind,",New York,0,J&J
1.43956E+18,19/09/2021 12:00,"@xskinn Not much talk of Sputnik version here. We just have Pfizer, Moderna, and J&amp;J.  Some ppl mix and match on boosters but real problem is getting more than 55% vaccinated.  I grew up in polio era: everybody went and stood in line fir that vaccine.",New Mexico,1,J&J
1.43942E+18,19/09/2021 02:52,@KOLA95624349 @Shaine52441221 @thevirus1986 @J_Mei21 @TomiLahren @Meidas_Kiesha @AOC @YaOnlyLivvOnce @AlexaBliss_WWE @Paula_White @VP @IlhanMN @POTUS @IsraeliPM @jack @JoelOsteen @Pontifex @NorthKoreaDPRK @RealCandaceO @heathergtv @KayaJones @SpeakerPelosi @VinceMcMahon @IvankaTrump @BardiUpdatess @RonDeSantisFL @SenTedCruz @RonJohnsonWI @HARRISFAULKNER @EmilyCompagno @kayleighmcenany @JessicaTarlov @LeaderMcConnell @SashaBanksWWE @FoxNews @CNN @SenSchumer @BMeiselas @GavinNewsom @benshapiro @CarleyShimkus @JudgeJeanine @mtgreenee @ainsleyearhardt @SandraSmithFox @FLOTUS @ScottWalker @tedcruz @GovRonDeSantis @Jim_Jordan Even ya Pope as humans think a pope shall keep them safe n is to be close to  iCreator though I said ya highest priest are not of like I am n pope has shown that thy churches are married more to humans vaccine than faith in they creator they God https://t.co/B5waUarQ9w,Kentucky,1,J&J
1.43938E+18,19/09/2021 00:10,"Thank you @LBHealthDept for your hard work. Because of your mobile clinics, my dad (long time vaccine resistor) got his J&amp;J while he was at The Pike Outlets. He went for a hat and came back vaccinated!!! 👏🏾",California,0,J&J
1.43925E+18,18/09/2021 15:46,"@glenview34 @IDPH @ReadyIllinois hosting vaccine clinic. J&amp;J, Pfizer and Moderna vaccines today (9/18/21) 💉 10am-2pm (east lot) at Springman Middle School https://t.co/OZuuptNtnR",Illinois,0,J&J
1.4392E+18,18/09/2021 12:00,@trishtweety @Saints @AdamSchefter So why can’t they coach? Does the vaccine not work?,Virginia,0,J&J
1.43902E+18,18/09/2021 00:17,"So, if eminent epidemiologist Nicki Minaj is to be believed, the fact that I got the one-shot J&amp;J vaccine means that I haven’t achieved maximum testicle swole-ness?",Ohio,0,J&J
1.43901E+18,17/09/2021 23:15,@Leerose1985 My brother had the one time J&amp;j an got sick an past away 3 months after recieving it .the J&amp;J  shot is just a 1 time shot an 5 of my friend have died from recieving the Johnson&amp;johnson  COVID -19 SHOT IN PAST 5 MONTHS VACCINE ARE R NOT Safe for adults or OUR CHILDREN!!,Massachusetts,0,J&J
1.43894E+18,17/09/2021 18:58,The @DuPageHD has returned to Lake Park with the mobile Care Van today (9/17/21) to offer anyone 12+ a vaccine shot (Pfizer or J&amp;J). This free clinic is open to the community; no appt necessary. Stop by East Campus until 3:30pm or West Campus during the football game from 5-8pm. https://t.co/ZJ31x456hm,Illinois,3,J&J
